,loan_amount,status,activity_name,sector_name,country,lender_term,num_lenders_total,num_journal_entries,repayment_interval,female_count,male_count,shortage_fund,posted_raised_hours,mpi,population_in_mpi,Education,Health,Living standards,population_in_severe_mpi,borrower_count,class
7884,350.0,funded,Fruits & Vegetables,Food,Philippines,8.0,14,2,irregular,1,0,0.0,177.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
635,825.0,funded,Farming,Agriculture,Kenya,11.0,15,1,bullet,2,8,0.0,156.0,0.166,36.0,12.3,32.2,55.5,10.7,10,3
6455,150.0,funded,Games,Entertainment,Nicaragua,7.0,3,2,irregular,1,0,0.0,3.0,0.08800000000000001,19.4,37.8,12.6,49.6,6.9,1,0
15552,725.0,funded,Taxi,Transportation,Pakistan,11.0,29,1,irregular,2,0,0.0,35.0,0.237,45.6,36.2,32.3,31.6,26.5,2,1
11633,775.0,funded,Manufacturing,Manufacturing,Cambodia,14.0,21,1,monthly,5,0,0.0,84.0,0.15,33.8,30.8,26.4,42.8,11.4,5,1
2289,325.0,funded,Weaving,Arts,Philippines,8.0,1,1,irregular,1,0,0.0,84.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
3674,825.0,funded,Quarrying,Construction,Uganda,14.0,32,1,monthly,0,1,0.0,680.0,0.359,70.3,18.0,30.2,51.9,33.3,1,1
9209,175.0,funded,Health,Health,Tajikistan,14.0,7,2,monthly,0,1,0.0,110.0,0.031,7.9,13.4,52.6,34.0,1.2,1,2
6732,925.0,funded,Games,Entertainment,Peru,8.0,33,2,monthly,1,0,0.0,305.0,0.043,10.4,19.4,29.8,50.8,2.1,1,0
6850,350.0,funded,Games,Entertainment,Colombia,14.0,13,1,monthly,0,1,0.0,189.0,0.032,7.6,34.3,24.7,41.0,1.8,1,0
14148,775.0,funded,Bookstore,Retail,Peru,6.0,29,4,irregular,1,0,0.0,162.0,0.043,10.4,19.4,29.8,50.8,2.1,1,0
7259,300.0,funded,Cereals,Food,Kenya,14.0,9,1,irregular,1,0,0.0,684.0,0.166,36.0,12.3,32.2,55.5,10.7,1,1
16902,200.0,funded,Wholesale,Wholesale,Uganda,7.0,8,1,irregular,1,0,0.0,509.0,0.359,70.3,18.0,30.2,51.9,33.3,1,1
10664,500.0,funded,Furniture Making,Manufacturing,Kenya,15.0,17,1,irregular,0,1,0.0,34.0,0.166,36.0,12.3,32.2,55.5,10.7,1,1
11330,125.0,funded,Furniture Making,Manufacturing,Philippines,7.0,5,2,irregular,0,1,0.0,20.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
3470,625.0,funded,Clothing,Clothing,Mali,6.0,21,2,irregular,6,0,0.0,80.0,0.456,78.4,37.9,22.4,39.7,55.9,6,1
6200,200.0,funded,Entertainment,Entertainment,Kenya,8.0,8,2,monthly,0,1,0.0,100.0,0.166,36.0,12.3,32.2,55.5,10.7,1,1
10212,525.0,funded,Personal Housing Expenses,Housing,Nicaragua,15.0,19,1,monthly,0,1,0.0,146.0,0.08800000000000001,19.4,37.8,12.6,49.6,6.9,1,0
6238,700.0,funded,Games,Entertainment,Nicaragua,20.0,25,1,monthly,1,0,0.0,143.0,0.08800000000000001,19.4,37.8,12.6,49.6,6.9,1,0
13871,725.0,funded,General Store,Retail,Kenya,14.0,27,2,monthly,0,1,0.0,729.0,0.166,36.0,12.3,32.2,55.5,10.7,1,0
8960,550.0,funded,Personal Medical Expenses,Health,Mexico,9.0,21,1,irregular,1,0,0.0,169.0,0.024,6.0,31.4,25.6,43.0,1.1,1,2
5653,400.0,funded,Higher education costs,Education,Tajikistan,20.0,8,6,monthly,1,0,0.0,217.0,0.031,7.9,13.4,52.6,34.0,1.2,1,2
2116,275.0,funded,Arts,Arts,Philippines,7.0,10,1,irregular,1,0,0.0,59.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
5362,475.0,funded,Higher education costs,Education,Peru,14.0,14,1,monthly,0,1,0.0,50.0,0.043,10.4,19.4,29.8,50.8,2.1,1,2
17498,525.0,funded,Wholesale,Wholesale,Rwanda,6.0,17,1,irregular,1,0,0.0,148.0,0.253,53.9,28.6,18.4,53.0,20.5,1,1
6488,250.0,funded,Games,Entertainment,Philippines,11.0,7,1,irregular,1,0,0.0,134.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
6899,675.0,funded,Games,Entertainment,Colombia,14.0,18,3,monthly,0,1,0.0,318.0,0.032,7.6,34.3,24.7,41.0,1.8,1,0
10988,250.0,funded,Manufacturing,Manufacturing,Kenya,8.0,10,1,monthly,1,0,0.0,79.0,0.166,36.0,12.3,32.2,55.5,10.7,1,1
814,375.0,funded,Animal Sales,Agriculture,Peru,8.0,11,1,monthly,1,0,0.0,148.0,0.043,10.4,19.4,29.8,50.8,2.1,1,2
11384,300.0,funded,Blacksmith,Manufacturing,Mali,14.0,12,2,irregular,0,1,0.0,10.0,0.456,78.4,37.9,22.4,39.7,55.9,1,1
12256,100.0,funded,Home Appliances,Personal Use,Cambodia,8.0,4,1,monthly,2,0,0.0,126.0,0.15,33.8,30.8,26.4,42.8,11.4,2,3
12399,650.0,funded,Home Energy,Personal Use,Cambodia,26.0,21,1,monthly,1,0,0.0,95.0,0.15,33.8,30.8,26.4,42.8,11.4,1,3
13907,250.0,funded,General Store,Retail,Kenya,13.0,1,1,irregular,1,0,0.0,145.0,0.166,36.0,12.3,32.2,55.5,10.7,1,0
5093,400.0,funded,Primary/secondary school costs,Education,Nigeria,14.0,6,1,bullet,0,1,0.0,126.0,0.279,50.9,29.8,29.8,40.4,30.0,1,1
14006,250.0,funded,General Store,Retail,Philippines,11.0,8,1,irregular,1,0,0.0,255.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
550,800.0,funded,Farming,Agriculture,Bosnia and Herzegovina,15.0,26,1,monthly,1,0,0.0,83.0,0.006,1.7,7.8,79.5,12.7,0.0,1,2
9400,275.0,funded,Personal Housing Expenses,Housing,Philippines,14.0,8,1,irregular,1,0,0.0,70.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
4592,200.0,funded,Construction,Construction,Peru,7.0,8,1,monthly,0,1,0.0,220.0,0.043,10.4,19.4,29.8,50.8,2.1,1,0
15254,225.0,funded,Tailoring,Services,Philippines,13.0,6,1,irregular,1,0,0.0,31.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
8966,200.0,funded,Personal Medical Expenses,Health,Tajikistan,14.0,7,1,monthly,0,1,0.0,264.0,0.031,7.9,13.4,52.6,34.0,1.2,1,2
4407,425.0,funded,Construction,Construction,Nicaragua,11.0,13,1,monthly,0,1,0.0,69.0,0.08800000000000001,19.4,37.8,12.6,49.6,6.9,1,0
3716,625.0,funded,Construction,Construction,Nicaragua,14.0,20,1,monthly,1,0,0.0,654.0,0.08800000000000001,19.4,37.8,12.6,49.6,6.9,1,0
12295,75.0,funded,Personal Expenses,Personal Use,Nigeria,14.0,1,2,bullet,0,1,0.0,125.0,0.279,50.9,29.8,29.8,40.4,30.0,1,3
12621,125.0,funded,Home Appliances,Personal Use,Cambodia,8.0,4,1,monthly,3,0,0.0,211.0,0.15,33.8,30.8,26.4,42.8,11.4,3,3
2271,575.0,funded,Crafts,Arts,Philippines,8.0,23,2,irregular,1,0,0.0,19.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
8713,650.0,funded,Natural Medicines,Health,Philippines,11.0,23,2,irregular,1,0,0.0,76.0,0.033,6.3,35.3,30.2,34.5,4.2,1,2
16761,325.0,funded,Goods Distribution,Wholesale,Peru,7.0,1,1,monthly,1,0,0.0,143.0,0.043,10.4,19.4,29.8,50.8,2.1,1,2
17081,175.0,funded,Goods Distribution,Wholesale,Haiti,7.0,7,1,monthly,0,1,0.0,62.0,0.242,50.2,24.8,23.4,51.8,20.1,1,1
199,225.0,funded,Farming,Agriculture,Nigeria,19.0,8,2,bullet,0,1,0.0,889.0,0.279,50.9,29.8,29.8,40.4,30.0,1,1
11297,300.0,funded,Manufacturing,Manufacturing,Peru,8.0,11,1,monthly,1,0,0.0,93.0,0.043,10.4,19.4,29.8,50.8,2.1,1,0
7179,225.0,funded,Food Stall,Food,Kenya,14.0,5,1,irregular,1,0,0.0,106.0,0.166,36.0,12.3,32.2,55.5,10.7,1,1
4976,100.0,funded,Higher education costs,Education,Nicaragua,8.0,2,2,bullet,1,0,0.0,304.0,0.08800000000000001,19.4,37.8,12.6,49.6,6.9,1,2
16180,900.0,funded,Taxi,Transportation,Azerbaijan,12.0,33,1,monthly,0,1,0.0,709.0,0.009000000000000001,2.4,20.0,50.7,29.3,0.2,1,2
11737,600.0,funded,Manufacturing,Manufacturing,Pakistan,12.0,21,1,monthly,1,0,0.0,32.0,0.237,45.6,36.2,32.3,31.6,26.5,1,1
8841,200.0,funded,Medical Clinic,Health,Tajikistan,14.0,7,2,monthly,1,0,0.0,55.0,0.031,7.9,13.4,52.6,34.0,1.2,1,2
3341,350.0,funded,Clothing Sales,Clothing,Ecuador,11.0,12,1,monthly,1,0,0.0,59.0,0.015,3.7,23.6,42.4,34.0,0.5,1,2
12925,75.0,funded,Home Energy,Personal Use,Kenya,8.0,2,2,monthly,0,1,0.0,47.0,0.166,36.0,12.3,32.2,55.5,10.7,1,3
3738,750.0,funded,Bricks,Construction,Peru,8.0,26,1,monthly,1,0,0.0,287.0,0.043,10.4,19.4,29.8,50.8,2.1,1,0
11076,550.0,funded,Manufacturing,Manufacturing,Ghana,7.0,19,1,irregular,1,0,0.0,2.0,0.147,32.4,27.2,31.5,41.2,11.1,1,0
17632,675.0,funded,Wholesale,Wholesale,South Sudan,14.0,26,2,irregular,1,0,0.0,21.0,0.551,89.3,39.3,14.3,46.3,69.6,1,1
8861,700.0,funded,Pharmacy,Health,Kenya,14.0,24,1,irregular,1,0,0.0,125.0,0.166,36.0,12.3,32.2,55.5,10.7,1,1
8469,425.0,funded,Personal Medical Expenses,Health,Tajikistan,20.0,9,1,monthly,1,0,0.0,140.0,0.031,7.9,13.4,52.6,34.0,1.2,1,2
965,650.0,funded,Animal Sales,Agriculture,Tajikistan,14.0,25,1,monthly,0,1,0.0,731.0,0.031,7.9,13.4,52.6,34.0,1.2,1,2
241,125.0,funded,Agriculture,Agriculture,Kenya,3.0,4,1,monthly,1,0,0.0,241.0,0.166,36.0,12.3,32.2,55.5,10.7,1,1
6367,825.0,funded,Entertainment,Entertainment,Nicaragua,14.0,29,1,monthly,1,0,0.0,21.0,0.08800000000000001,19.4,37.8,12.6,49.6,6.9,1,0
10065,150.0,funded,Personal Housing Expenses,Housing,Philippines,14.0,5,1,irregular,1,0,0.0,321.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
2204,775.0,funded,Weaving,Arts,Indonesia,13.0,25,1,irregular,4,0,0.0,137.0,0.024,5.9,24.7,35.1,40.2,1.1,4,0
10776,900.0,funded,Metal Shop,Manufacturing,Afghanistan,14.0,24,2,monthly,1,0,0.0,35.0,0.293,58.8,45.6,19.2,35.2,29.8,1,1
5859,50.0,funded,Primary/secondary school costs,Education,Nigeria,15.0,2,1,bullet,0,1,0.0,91.0,0.279,50.9,29.8,29.8,40.4,30.0,1,1
8143,575.0,funded,Fishing,Food,Philippines,8.0,20,1,irregular,1,0,0.0,34.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
11783,400.0,funded,Furniture Making,Manufacturing,Senegal,14.0,12,1,monthly,0,1,0.0,5.0,0.278,51.9,43.6,23.1,33.4,30.8,1,1
17186,275.0,funded,Wholesale,Wholesale,Philippines,6.0,10,2,irregular,1,0,0.0,18.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
1779,500.0,funded,Weaving,Arts,Cambodia,15.0,17,3,irregular,0,1,0.0,19.0,0.15,33.8,30.8,26.4,42.8,11.4,1,0
4264,325.0,funded,Construction Supplies,Construction,Madagascar,12.0,12,2,monthly,1,0,0.0,136.0,0.42,77.0,31.6,24.5,43.9,48.0,1,1
15142,500.0,funded,Motorcycle Repair,Services,Cambodia,12.0,13,1,monthly,1,0,0.0,185.0,0.15,33.8,30.8,26.4,42.8,11.4,1,1
16508,625.0,funded,Motorcycle Transport,Transportation,Uganda,14.0,15,1,monthly,1,0,0.0,344.0,0.359,70.3,18.0,30.2,51.9,33.3,1,1
639,125.0,funded,Livestock,Agriculture,Philippines,8.0,1,2,irregular,1,0,0.0,8.0,0.033,6.3,35.3,30.2,34.5,4.2,1,2
5636,200.0,funded,Higher education costs,Education,Philippines,7.0,8,1,irregular,1,0,0.0,186.0,0.033,6.3,35.3,30.2,34.5,4.2,1,2
1141,275.0,funded,Poultry,Agriculture,Philippines,12.0,10,2,irregular,1,0,0.0,63.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
2128,925.0,funded,Knitting,Arts,Peru,6.0,9,1,irregular,1,0,0.0,71.0,0.043,10.4,19.4,29.8,50.8,2.1,1,0
13687,475.0,funded,General Store,Retail,Philippines,8.0,15,1,irregular,1,0,0.0,191.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
6210,325.0,funded,Entertainment,Entertainment,Nicaragua,12.0,13,2,monthly,1,0,0.0,135.0,0.08800000000000001,19.4,37.8,12.6,49.6,6.9,1,0
14473,125.0,funded,Services,Services,Philippines,9.0,4,2,monthly,1,0,0.0,32.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
9874,175.0,funded,Personal Housing Expenses,Housing,Indonesia,8.0,5,2,irregular,1,0,0.0,10.0,0.024,5.9,24.7,35.1,40.2,1.1,1,0
13962,350.0,funded,Retail,Retail,Nigeria,10.0,12,1,monthly,1,0,0.0,271.0,0.279,50.9,29.8,29.8,40.4,30.0,1,1
6430,475.0,funded,Games,Entertainment,Nicaragua,15.0,16,4,monthly,0,2,0.0,134.0,0.08800000000000001,19.4,37.8,12.6,49.6,6.9,2,0
1548,125.0,funded,Knitting,Arts,Tajikistan,14.0,4,2,monthly,1,0,0.0,38.0,0.031,7.9,13.4,52.6,34.0,1.2,1,2
14553,500.0,funded,Tailoring,Services,Pakistan,13.0,16,2,monthly,1,0,0.0,667.0,0.237,45.6,36.2,32.3,31.6,26.5,1,1
978,125.0,funded,Agriculture,Agriculture,Kenya,3.0,5,1,irregular,1,0,0.0,205.0,0.166,36.0,12.3,32.2,55.5,10.7,1,1
8898,675.0,funded,Personal Medical Expenses,Health,Philippines,38.0,26,1,monthly,1,0,0.0,659.0,0.033,6.3,35.3,30.2,34.5,4.2,1,2
8149,850.0,funded,Food Production/Sales,Food,Colombia,21.0,28,4,monthly,1,0,0.0,279.0,0.032,7.6,34.3,24.7,41.0,1.8,1,0
10114,200.0,funded,Personal Housing Expenses,Housing,Tajikistan,14.0,8,1,monthly,1,0,0.0,400.0,0.031,7.9,13.4,52.6,34.0,1.2,1,0
10165,175.0,funded,Personal Housing Expenses,Housing,Philippines,14.0,5,1,irregular,1,0,0.0,137.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
14832,250.0,funded,Tailoring,Services,India,14.0,10,1,monthly,1,0,0.0,339.0,0.282,55.3,22.7,32.5,44.8,27.8,1,1
5737,375.0,funded,Higher education costs,Education,Colombia,6.0,14,1,monthly,1,0,0.0,32.0,0.032,7.6,34.3,24.7,41.0,1.8,1,2
2392,225.0,funded,Weaving,Arts,Philippines,8.0,4,1,irregular,1,0,0.0,136.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
9868,125.0,funded,Personal Housing Expenses,Housing,Philippines,13.0,5,1,irregular,1,0,0.0,134.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
17201,500.0,funded,Goods Distribution,Wholesale,Kenya,14.0,16,1,irregular,1,0,0.0,281.0,0.166,36.0,12.3,32.2,55.5,10.7,1,1
13865,900.0,funded,General Store,Retail,Peru,8.0,23,1,monthly,1,0,0.0,557.0,0.043,10.4,19.4,29.8,50.8,2.1,1,0
13898,575.0,funded,Shoe Sales,Retail,Colombia,14.0,22,3,monthly,0,1,0.0,631.0,0.032,7.6,34.3,24.7,41.0,1.8,1,0
13665,275.0,funded,General Store,Retail,Philippines,8.0,11,1,irregular,1,0,0.0,11.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
5103,825.0,funded,Primary/secondary school costs,Education,Mongolia,14.0,29,1,monthly,0,1,0.0,639.0,0.047,11.1,18.1,27.7,54.2,2.3,1,2
9019,400.0,funded,Pharmacy,Health,Uganda,11.0,15,1,irregular,5,0,0.0,109.0,0.359,70.3,18.0,30.2,51.9,33.3,5,1
4808,200.0,funded,Primary/secondary school costs,Education,Kenya,14.0,8,1,monthly,1,0,0.0,32.0,0.166,36.0,12.3,32.2,55.5,10.7,1,1
15137,200.0,funded,Beauty Salon,Services,Philippines,11.0,7,1,irregular,1,0,0.0,90.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
7437,525.0,funded,Food Market,Food,Rwanda,6.0,21,1,irregular,0,1,0.0,148.0,0.253,53.9,28.6,18.4,53.0,20.5,1,1
1452,250.0,funded,Weaving,Arts,Cambodia,15.0,9,3,irregular,1,0,0.0,57.0,0.15,33.8,30.8,26.4,42.8,11.4,1,0
7667,100.0,funded,Fish Selling,Food,Philippines,6.0,3,2,irregular,1,0,0.0,15.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
6379,725.0,funded,Musical Performance,Entertainment,Peru,6.0,26,2,irregular,1,0,0.0,78.0,0.043,10.4,19.4,29.8,50.8,2.1,1,0
16828,250.0,funded,Goods Distribution,Wholesale,Philippines,8.0,5,2,irregular,1,0,0.0,137.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
4585,325.0,funded,Construction,Construction,Tajikistan,14.0,10,1,monthly,0,1,0.0,740.0,0.031,7.9,13.4,52.6,34.0,1.2,1,2
12665,50.0,funded,Home Appliances,Personal Use,Kenya,8.0,2,2,monthly,1,0,0.0,13.0,0.166,36.0,12.3,32.2,55.5,10.7,1,3
4376,500.0,funded,Construction Supplies,Construction,Mexico,8.0,17,2,monthly,1,0,0.0,186.0,0.024,6.0,31.4,25.6,43.0,1.1,1,0
17543,300.0,funded,Wholesale,Wholesale,Philippines,11.0,10,1,irregular,1,0,0.0,83.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
3524,500.0,funded,Clothing Sales,Clothing,Tajikistan,13.0,15,1,monthly,0,1,0.0,68.0,0.031,7.9,13.4,52.6,34.0,1.2,1,2
10570,750.0,funded,Personal Housing Expenses,Housing,Peru,6.0,26,2,irregular,1,0,0.0,76.0,0.043,10.4,19.4,29.8,50.8,2.1,1,0
7543,425.0,funded,Food Production/Sales,Food,Togo,10.0,16,1,irregular,1,0,0.0,123.0,0.242,48.5,26.4,28.8,44.9,23.2,1,1
567,325.0,funded,Pigs,Agriculture,Philippines,8.0,1,1,irregular,1,0,0.0,206.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
8275,475.0,funded,Personal Medical Expenses,Health,Mexico,14.0,9,1,monthly,1,0,0.0,43.0,0.024,6.0,31.4,25.6,43.0,1.1,1,2
14005,250.0,funded,Charcoal Sales,Retail,Philippines,8.0,10,1,irregular,1,0,0.0,485.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
3310,225.0,funded,Clothing Sales,Clothing,Kenya,13.0,9,1,irregular,1,0,0.0,231.0,0.166,36.0,12.3,32.2,55.5,10.7,1,1
1791,125.0,funded,Crafts,Arts,Kenya,3.0,5,1,irregular,1,0,0.0,99.0,0.166,36.0,12.3,32.2,55.5,10.7,1,1
12182,75.0,funded,Home Energy,Personal Use,Kenya,14.0,2,2,monthly,0,1,0.0,254.0,0.166,36.0,12.3,32.2,55.5,10.7,1,3
15747,425.0,funded,Motorcycle Transport,Transportation,Cameroon,14.0,17,1,irregular,0,1,0.0,601.0,0.26,48.2,24.5,31.3,44.2,27.1,1,1
9226,425.0,funded,Natural Medicines,Health,Philippines,8.0,5,1,irregular,1,0,0.0,135.0,0.033,6.3,35.3,30.2,34.5,4.2,1,2
13201,125.0,funded,General Store,Retail,Philippines,8.0,4,1,irregular,1,0,0.0,9.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
14801,200.0,funded,Beauty Salon,Services,Togo,7.0,7,1,irregular,1,0,0.0,233.0,0.242,48.5,26.4,28.8,44.9,23.2,1,1
9711,425.0,funded,Personal Housing Expenses,Housing,Indonesia,25.0,15,2,irregular,1,0,0.0,147.0,0.024,5.9,24.7,35.1,40.2,1.1,1,0
514,800.0,funded,Agriculture,Agriculture,Cambodia,26.0,27,2,monthly,0,1,0.0,590.0,0.15,33.8,30.8,26.4,42.8,11.4,1,1
6713,425.0,funded,Games,Entertainment,Philippines,11.0,14,3,irregular,1,0,0.0,84.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
284,500.0,funded,Farming,Agriculture,Cambodia,20.0,18,1,monthly,0,1,0.0,23.0,0.15,33.8,30.8,26.4,42.8,11.4,1,1
5830,575.0,funded,Higher education costs,Education,Jordan,15.0,22,2,monthly,1,0,0.0,70.0,0.004,1.2,31.5,65.0,3.5,0.1,1,2
3764,175.0,funded,Construction,Construction,India,14.0,6,1,monthly,1,0,0.0,250.0,0.282,55.3,22.7,32.5,44.8,27.8,1,1
6464,250.0,funded,Musical Performance,Entertainment,Nicaragua,13.0,9,1,monthly,1,0,0.0,30.0,0.08800000000000001,19.4,37.8,12.6,49.6,6.9,1,0
11992,75.0,funded,Home Energy,Personal Use,Kenya,8.0,2,1,monthly,1,0,0.0,13.0,0.166,36.0,12.3,32.2,55.5,10.7,1,3
16171,575.0,funded,Transportation,Transportation,Philippines,12.0,20,2,monthly,0,1,0.0,97.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
11503,400.0,funded,Metal Shop,Manufacturing,Nicaragua,14.0,13,2,monthly,0,1,0.0,47.0,0.08800000000000001,19.4,37.8,12.6,49.6,6.9,1,0
10126,825.0,funded,Personal Housing Expenses,Housing,Nicaragua,17.0,29,1,monthly,1,0,0.0,116.0,0.08800000000000001,19.4,37.8,12.6,49.6,6.9,1,0
3420,525.0,funded,Clothing Sales,Clothing,Mali,6.0,20,2,irregular,5,0,0.0,66.0,0.456,78.4,37.9,22.4,39.7,55.9,5,1
7019,225.0,funded,Food Production/Sales,Food,Mali,6.0,6,2,irregular,7,0,0.0,46.0,0.456,78.4,37.9,22.4,39.7,55.9,7,1
17562,100.0,funded,Wholesale,Wholesale,Philippines,8.0,4,1,monthly,0,1,0.0,523.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
3452,200.0,funded,Used Clothing,Clothing,Philippines,11.0,8,1,irregular,1,0,0.0,93.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
7239,350.0,funded,Fishing,Food,Philippines,16.0,12,2,irregular,1,0,0.0,227.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
13857,450.0,funded,General Store,Retail,Philippines,7.0,6,1,irregular,1,0,0.0,74.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
7474,500.0,funded,Food Production/Sales,Food,Cambodia,20.0,8,1,monthly,1,0,0.0,424.0,0.15,33.8,30.8,26.4,42.8,11.4,1,0
14521,300.0,funded,Beauty Salon,Services,Kenya,13.0,10,1,irregular,1,0,0.0,693.0,0.166,36.0,12.3,32.2,55.5,10.7,1,1
10701,100.0,funded,Manufacturing,Manufacturing,Philippines,7.0,3,2,irregular,1,0,0.0,33.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
6478,800.0,funded,Games,Entertainment,Mongolia,8.0,25,3,monthly,0,1,0.0,66.0,0.047,11.1,18.1,27.7,54.2,2.3,1,0
17616,875.0,funded,Wholesale,Wholesale,Ecuador,27.0,22,1,monthly,1,0,0.0,241.0,0.015,3.7,23.6,42.4,34.0,0.5,1,2
12608,125.0,funded,Home Appliances,Personal Use,Cambodia,8.0,5,1,monthly,2,1,0.0,296.0,0.15,33.8,30.8,26.4,42.8,11.4,3,3
6361,625.0,funded,Musical Performance,Entertainment,Armenia,26.0,22,1,monthly,0,1,0.0,85.0,0.002,0.6,3.4,87.8,8.7,0.1,1,2
7415,700.0,funded,Cereals,Food,Kenya,14.0,27,1,monthly,1,0,0.0,67.0,0.166,36.0,12.3,32.2,55.5,10.7,1,1
1338,100.0,funded,Knitting,Arts,Peru,6.0,3,1,irregular,1,0,0.0,72.0,0.043,10.4,19.4,29.8,50.8,2.1,1,0
1215,375.0,funded,Weaving,Arts,Peru,10.0,8,3,monthly,1,0,0.0,10.0,0.043,10.4,19.4,29.8,50.8,2.1,1,0
11322,425.0,funded,Furniture Making,Manufacturing,Philippines,7.0,16,1,irregular,1,0,0.0,109.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
9716,800.0,funded,Personal Housing Expenses,Housing,Peru,14.0,29,3,monthly,0,1,0.0,119.0,0.043,10.4,19.4,29.8,50.8,2.1,1,0
15979,700.0,funded,Motorcycle Transport,Transportation,Philippines,8.0,28,2,irregular,0,1,0.0,674.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
8851,150.0,funded,Health,Health,Kenya,3.0,4,1,monthly,1,0,0.0,672.0,0.166,36.0,12.3,32.2,55.5,10.7,1,2
3126,250.0,funded,Clothing Sales,Clothing,Philippines,11.0,7,1,irregular,1,0,0.0,87.0,0.033,6.3,35.3,30.2,34.5,4.2,1,2
1595,225.0,funded,Weaving,Arts,Philippines,13.0,9,1,irregular,1,0,0.0,109.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
11189,150.0,funded,Furniture Making,Manufacturing,Nepal,14.0,4,2,monthly,1,0,0.0,38.0,0.116,26.6,32.2,25.6,42.2,9.3,1,0
9005,325.0,funded,Medical Clinic,Health,Tajikistan,20.0,13,1,monthly,1,0,0.0,509.0,0.031,7.9,13.4,52.6,34.0,1.2,1,2
1287,625.0,funded,Weaving,Arts,India,14.0,24,1,monthly,5,0,0.0,177.0,0.282,55.3,22.7,32.5,44.8,27.8,5,1
13886,350.0,funded,Plastics Sales,Retail,Philippines,8.0,11,1,irregular,1,0,0.0,450.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
5057,125.0,funded,Higher education costs,Education,Cambodia,12.0,5,2,monthly,0,1,0.0,217.0,0.15,33.8,30.8,26.4,42.8,11.4,1,2
9045,950.0,funded,Health,Health,Togo,14.0,33,1,monthly,0,1,0.0,6.0,0.242,48.5,26.4,28.8,44.9,23.2,1,1
14022,400.0,funded,General Store,Retail,Philippines,5.0,13,2,irregular,1,0,0.0,18.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
16361,200.0,funded,Motorcycle Transport,Transportation,Philippines,11.0,8,1,irregular,1,0,0.0,85.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
5198,375.0,funded,Primary/secondary school costs,Education,Mexico,16.0,14,1,monthly,1,0,0.0,144.0,0.024,6.0,31.4,25.6,43.0,1.1,1,2
4865,950.0,funded,Primary/secondary school costs,Education,Peru,20.0,33,1,monthly,0,1,0.0,555.0,0.043,10.4,19.4,29.8,50.8,2.1,1,2
9042,750.0,funded,Pharmacy,Health,Colombia,15.0,27,2,monthly,1,0,0.0,96.0,0.032,7.6,34.3,24.7,41.0,1.8,1,2
1023,75.0,funded,Poultry,Agriculture,Philippines,8.0,1,4,irregular,1,0,0.0,0.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
13783,725.0,funded,General Store,Retail,Philippines,8.0,25,1,irregular,1,0,0.0,562.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
16752,450.0,funded,Wholesale,Wholesale,Philippines,8.0,1,2,irregular,1,0,0.0,81.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
3736,400.0,funded,Construction Supplies,Construction,Pakistan,11.0,9,1,irregular,1,0,0.0,105.0,0.237,45.6,36.2,32.3,31.6,26.5,1,1
